game_index,food_eaten,kills,num_ticks_lived
398,2,0,26
399,2,1,21
400,1,1,80
401,4,2,46
402,0,0,20
403,8,1,105
404,2,0,60
405,12,2,122
406,5,0,124
407,25,1,224
408,2,0,42
409,1,0,19
410,1,0,42
411,21,4,271
412,29,3,345
413,8,3,81
414,1,0,53
415,10,1,137
416,4,0,44
417,40,3,456
418,1,0,14
419,9,1,131
420,0,1,12
421,0,1,13
422,2,1,38
423,26,1,329
424,9,0,97
425,0,1,39
426,6,1,70
427,17,1,240
428,1,0,10
429,12,1,202
430,6,0,97
431,0,0,24
432,24,2,374
433,11,2,124
434,1,1,43
435,2,0,39
436,2,1,34
437,1,1,16
438,1,0,48
439,1,1,43
440,4,0,60
441,2,0,39
442,8,1,126
443,1,2,38
444,1,1,40
445,5,0,40
446,2,0,24
447,14,1,119
448,7,0,89
449,4,0,43
450,11,2,133
451,1,0,17
452,14,2,139
453,6,0,57
454,3,0,24
455,4,1,87
456,10,1,141
457,1,0,29
458,4,1,95
459,0,1,53
460,2,1,41
461,4,1,61
462,10,3,118
463,0,1,49
464,9,0,125
465,9,1,124
466,14,0,135
467,6,1,77
468,0,0,8
469,3,1,42
470,0,0,21
471,1,1,11
472,0,0,9
473,28,2,340
474,1,1,27
475,4,0,41
476,22,3,261
477,4,1,70
478,3,1,38
479,15,2,142
480,3,0,28
481,17,1,171
482,8,0,135
483,9,2,164
484,21,2,174
485,8,3,110
486,18,1,157
487,16,1,182
488,14,1,180
489,9,1,96
490,0,0,12
491,28,0,326
492,0,0,10
493,3,0,42
494,16,3,119
495,20,2,194
496,7,1,102
497,8,2,173
498,0,0,79
499,19,3,215
500,0,0,18
501,6,0,119
502,1,1,9
503,0,1,18
504,16,2,166
505,6,1,74
506,18,2,189
507,19,2,181
508,2,0,16
509,28,1,423
510,5,2,77
511,3,0,32
512,20,1,197
513,0,1,15
514,15,0,220
515,0,1,8
516,1,0,64
517,14,1,184
518,19,3,256
519,2,0,22
520,3,0,39
521,2,0,68
522,1,0,18
523,22,1,281
524,2,0,28
525,13,2,161
526,7,0,99
527,2,1,16
528,17,3,169
529,8,0,126
530,19,1,213
531,2,1,38
532,10,0,153
533,0,0,43
534,15,1,142
535,5,0,78
536,0,0,11
537,3,2,60
538,1,1,31
539,2,1,68
540,3,0,51
541,6,2,88
542,8,2,91
543,16,2,192
544,16,2,208
545,4,1,294
546,6,1,80
547,3,0,77
548,2,1,16
549,7,0,85
550,3,1,43
551,5,1,95
552,9,2,101
553,16,2,152
554,0,0,13
555,11,2,129
556,0,0,20
557,5,1,63
558,1,0,38
559,13,2,137
560,5,2,155
561,7,0,113
562,11,1,159
563,24,1,226
564,10,0,116
565,0,0,33
566,1,0,101
567,7,2,149
568,23,1,246
569,8,0,137
570,5,0,120
571,2,1,38
572,2,1,14
573,8,1,70
574,0,1,11
575,16,2,238
576,13,1,196
577,14,3,159
578,18,4,190
579,1,0,51
580,1,0,28
581,19,1,247
582,0,0,14
583,1,0,32
584,2,0,64
585,11,3,140
586,6,3,118
587,17,2,227
588,17,1,224
589,1,0,36
590,5,2,41
591,19,0,239
592,1,2,16
593,2,1,14
594,17,1,210
595,5,3,49
596,6,1,49
597,13,1,189
598,8,3,79
599,7,1,93
600,3,1,42
601,1,0,35
602,1,0,17
603,2,0,38
604,6,1,101
605,23,1,230
606,11,0,190
607,11,1,201
608,14,1,152
609,1,0,75
610,0,1,14
611,1,1,46
612,22,1,325
613,3,1,50
614,8,0,79
615,18,1,231
616,8,0,100
617,14,0,122
618,16,1,156
619,16,2,157
620,0,1,30
621,19,2,172
622,13,1,180
623,13,0,120
624,8,1,86
625,23,1,315
626,3,0,31
627,3,2,112
628,0,1,30
629,15,2,140
630,1,1,53
631,1,0,12
632,2,1,40
633,1,1,26
634,11,2,209
635,2,1,21
636,19,0,300
637,1,1,20
638,2,0,22
639,6,1,106
640,27,2,325
641,4,0,55
642,27,4,313
643,1,0,21
644,6,1,71
645,7,0,73
646,0,1,29
647,14,3,189
648,1,0,32
649,0,0,14
650,17,1,188
651,0,0,17
652,13,1,171
653,4,0,42
654,1,0,38
655,16,1,183
656,26,1,283
657,1,0,33
658,13,2,130
659,3,1,53
660,0,1,55
661,2,1,28
662,10,3,109
663,4,1,48
664,4,0,77
665,7,0,94
666,12,3,138
667,6,0,85
668,1,0,26
669,4,1,72
670,2,0,38
671,2,0,41
672,15,2,267
673,0,1,20
674,6,3,85
675,1,1,20
676,12,1,121
677,22,2,303
678,0,0,15
679,0,1,29
680,13,1,152
681,1,0,28
682,18,3,202
683,13,2,134
684,9,1,116
685,8,1,98
686,22,2,321
687,0,1,12
688,3,0,40
689,3,1,59
690,1,1,49
691,12,1,116
692,9,0,126
693,8,0,141
694,7,2,84
695,1,0,64
696,1,0,16
697,6,1,91
698,3,2,44
699,7,0,67
700,3,0,69
701,3,1,54
702,0,0,23
703,2,0,44
704,4,0,75
705,5,0,98
706,13,1,160
707,1,0,32
708,24,1,250
709,1,1,23
710,14,1,187
711,14,1,226
712,7,2,77
713,23,1,318
714,1,1,17
715,17,1,199
716,8,3,108
717,15,2,199
718,27,2,261
719,10,1,168
720,17,3,239
721,9,1,102
722,3,1,48
723,6,1,104
724,3,1,53
725,12,2,140
726,1,1,26
727,8,0,88
728,16,1,182
729,10,1,99
730,13,1,151
731,2,0,58
732,2,0,28
733,4,1,88
734,14,1,207
735,8,0,59
736,7,2,171
737,3,0,47
738,27,0,372
739,15,1,190
740,4,0,58
741,2,0,149
742,10,3,135
743,5,0,111
